t,I_L,I_R,Isx_L,Isy_L,Isz_L,Isx_R,Isy_R,Isz_R,S1_x_site2,S1_y_site2,S1_z_site2,S2_x_site4,S2_y_site4,S2_z_site4,S3_x_site6,S3_y_site6,S3_z_site6,S4_x_site8,S4_y_site8,S4_z_site8,S5_x_site10,S5_y_site10,S5_z_site10,S6_x_site12,S6_y_site12,S6_z_site12,S7_x_site14,S7_y_site14,S7_z_site14,S8_x_site16,S8_y_site16,S8_z_site16,S9_x_site18,S9_y_site18,S9_z_site18,S10_x_site20,S10_y_site20,S10_z_site20,S11_x_site22,S11_y_site22,S11_z_site22,S12_x_site24,S12_y_site24,S12_z_site24,S13_x_site26,S13_y_site26,S13_z_site26,S14_x_site28,S14_y_site28,S14_z_site28,S15_x_site30,S15_y_site30,S15_z_site30,S16_x_site32,S16_y_site32,S16_z_site32
1.0999999999999999,0.35399784351899616,-0.35399784351899616,0.00801473153144186,0.0,0.0,0.008014731531441855,6.938893903907228e-18,-0.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,6.571161071087506e-35,1.2729514279517305e-34,1.0,-3.808821215398871e-39,-4.573419598187587e-39,1.0,3.295716239794646e-44,6.880920121952396e-44,1.0,1.186371267984817e-44,3.330039150952489e-44,1.0,7.360785815855637e-40,4.791041268012191e-39,1.0,0.0,-0.0,1.0,-1.7609139391399947e-30,1.3380230109751915e-30,1.0,1.4149947640821438e-27,3.4423719805280195e-26,1.0,-8.593679631827536e-23,-4.3537997750892455e-23,1.0,1.1765485606755981e-20,6.336768982725717e-20,1.0,-3.5694440244483634e-20,3.9872066564176726e-19,1.0
1.2,0.32379645382063377,-0.3237964538206337,0.01918330189528934,-3.469446951953614e-18,-5.551115123125783e-17,0.01918330189528933,1.0408340855860843e-17,5.551115123125783e-17,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.6025851741289982e-33,2.2202238923711106e-33,1.0,-4.6250030510644053e-38,-5.256721260560668e-38,1.0,7.112042449304274e-43,2.275616690004419e-42,1.0,-7.560255029133652e-43,-4.938424976762227e-43,1.0,-3.405172332838989e-38,8.884748319010766e-41,1.0,0.0,-0.0,1.0,-1.524464677096128e-29,-6.914858506867106e-30,1.0,1.821495327586602e-26,1.8620539916981254e-25,1.0,-1.835115284843643e-22,-1.4406319998528686e-22,1.0,2.0549180717716152e-20,6.544023308085064e-20,1.0,1.5667022009643096e-19,-1.5198619213647243e-19,1.0
1.3,0.29663622180928817,-0.2966362218092882,0.0333616282259699,1.734723475976807e-18,-2.7755575615628914e-17,0.033361628225969886,5.204170427930421e-18,-0.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.770013449209002e-33,3.6522167059826467e-34,1.0,-2.9491778880055772e-37,-2.372397082891333e-37,1.0,3.0374140791738033e-41,6.513979354492682e-41,1.0,-2.1559738558435183e-41,-1.0942724448299868e-41,1.0,-1.4160068848743563e-37,1.5442614339499394e-37,1.0,0.0,-0.0,1.0,-1.6210128938518572e-28,-1.0589881736585225e-28,1.0,-1.2058412729861096e-25,3.5093372950669033e-25,1.0,-4.247772211892173e-22,-3.5490146288667112e-22,1.0,4.627678657897751e-20,1.1392268663189596e-19,1.0,7.020378994301443e-19,-1.0352816700105737e-18,1.0
1.4000000000000001,0.27483146344747483,-0.27483146344747483,0.04989907721716261,2.6020852139652106e-18,-5.551115123125783e-17,0.04989907721716258,1.1275702593849246e-17,-0.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,0.0,1.0,-1.2694271937378876e-32,-4.036677453984082e-32,1.0,7.406732493965284e-37,-2.7594967462187004e-37,1.0,2.9487891304573714e-41,1.8775084255017156e-40,1.0,-4.3991256874249895e-41,1.6857393066944712e-40,1.0,-3.1203851369814215e-36,-2.227185898666593e-36,1.0,0.0,-0.0,1.0,-6.211956117049256e-28,-4.339582313642187e-28,1.0,-3.097604338230141e-25,9.866827162711772e-25,1.0,-8.08458393960287e-22,-4.404402860421586e-22,1.0,8.459100032246474e-20,1.6749823306832191e-19,1.0,1.6830144434821838e-18,-2.454776089653219e-18,1.0
1.5000000000000002,0.2595708822038434,-0.2595708822038434,0.067824966878992,-1.0408340855860843e-17,0.0,0.06782496687899198,6.071532165918825e-18,-0.0,-0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,0.0,1.0,2.80981913562738e-31,6.218152816577819e-31,1.0,1.3427434346699437e-35,4.822052923548115e-35,1.0,6.082848379632051e-40,1.2103322843619615e-39,1.0,-1.239401192145422e-40,1.4798396769751645e-39,1.0,-1.930428631927085e-35,-2.7298381525657186e-35,1.0,0.0,-0.0,1.0,-1.9250711386461586e-27,-4.626114293720509e-28,1.0,-5.897888820425933e-25,2.9865168869225976e-24,1.0,-1.9981436645680088e-21,-1.5029502724890202e-21,1.0,1.0843703894434976e-19,1.6581234126638717e-19,1.0,2.5298737797700845e-18,-4.297896066644217e-18,1.0
1.6000000000000003,0.2509402828483212,-0.2509402828483212,0.08595618780381946,-4.87890977618477e-18,0.0,0.08595618780381943,7.37257477290143e-18,-0.0,-0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,0.0,1.0,1.4158140660168497e-30,2.21549800873066e-30,1.0,9.442811977687702e-35,3.3579191039349545e-34,1.0,-3.8235265416013485e-39,3.9491667885390254e-39,1.0,1.9010974537038335e-38,4.074379095814295e-38,1.0,-3.9289434306392654e-34,-5.2388947742248e-34,1.0,0.0,-0.0,1.0,-6.734076463320831e-27,-4.549578854540947e-27,1.0,-2.8270490005348634e-24,9.707775552234479e-24,1.0,-5.6713805980244686e-21,-4.456409747407372e-21,1.0,1.1502695220190914e-19,2.739204692134457e-19,1.0,3.0865096365410903e-18,-6.3664676261032295e-18,1.0
1.7000000000000004,0.2480872619862068,-0.2480872619862068,0.10303811079304209,6.071532165918825e-18,1.3877787807814457e-17,0.10303811079304209,9.540979117872439e-18,-1.3877787807814457e-17,-0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,0.0,1.0,6.015963966170034e-30,1.0154497997741948e-29,1.0,-5.686898461481894e-35,-1.850500808567221e-34,1.0,-9.766206823377338e-39,-6.549792692321739e-38,1.0,1.918437293581861e-37,3.891282028675842e-37,1.0,-3.1819576750231364e-33,-3.7935564439578347e-33,1.0,0.0,-0.0,1.0,-1.677406543651787e-26,-2.3931702518176745e-27,1.0,-2.9992189351301462e-24,2.919834980714852e-23,1.0,-9.983455989082018e-21,-5.370018793608762e-21,1.0,2.6539426908957366e-19,3.739944629728351e-19,1.0,2.9889435765588602e-18,-7.684357026618729e-18,1.0
1.8000000000000005,0.24949290035887717,-0.24949290035887717,0.11789926784678668,-1.3877787807814457e-17,-1.3877787807814457e-17,0.11789926784678667,-0.0,-0.0,-0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,0.0,1.0,-5.492853107879359e-30,-1.0886582206585284e-29,1.0,2.4705966425705094e-33,3.5856876708736006e-33,1.0,-5.856441035547559e-37,-5.064987578263674e-37,1.0,1.2873770068749867e-36,2.6865474169691913e-36,1.0,-1.4389617225583638e-32,-1.0812136815372306e-32,1.0,0.0,-0.0,1.0,-3.177897894203623e-26,5.779745961938915e-26,1.0,-7.454692076332428e-24,5.2095796833857006e-23,1.0,-1.6924455242564913e-20,-7.859568223545545e-21,1.0,5.545171407481394e-19,5.567016661891022e-19,1.0,2.4386879617705137e-18,-8.992288793271062e-18,1.0
1.9000000000000006,0.2533028982288599,-0.2533028982288599,0.12959817265770884,-6.938893903907228e-18,0.0,0.12959817265770884,-3.469446951953614e-18,-2.7755575615628914e-17,-0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,0.0,1.0,-5.765577034500816e-29,-2.2442804940645787e-29,1.0,7.57212204903939e-33,-1.9517025414252847e-33,1.0,1.0356292169980417e-37,2.2442426863178986e-36,1.0,3.275737878953071e-36,1.243481760850126e-35,1.0,-5.787610288726856e-32,-4.25517335902818e-32,1.0,-0.0,-0.0,1.0,-1.5371457112976395e-25,5.259444479991878e-26,1.0,1.8666910792170993e-23,9.848973679966613e-23,1.0,-2.7927162243831405e-20,-1.5770014044773923e-20,1.0,8.301531075365253e-19,8.784628120635486e-19,1.0,1.5465377611822765e-18,-9.787317060562716e-18,1.0
2.0000000000000004,0.25766554500393657,-0.25766554500393657,0.13754164180090106,-6.938893903907228e-18,0.0,0.13754164180090106,-1.734723475976807e-17,-0.0,-0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,0.0,0.0,1.0,-2.157439933894749e-29,2.491671576081669e-29,1.0,1.2714381677508635e-31,1.549770315579675e-31,1.0,-1.47623685831056e-35,-2.419679303688739e-35,1.0,-6.91950003043431e-36,2.936806287492396e-35,1.0,-2.378176614831741e-31,-1.7348656002325051e-31,1.0,-0.0,-0.0,1.0,-4.391319086605596e-25,-1.5014167988395078e-25,1.0,-3.739367942065203e-24,1.943612373852942e-22,1.0,-4.0721682790424005e-20,-2.3998383049776e-20,1.0,1.072689526394595e-18,9.960677553852125e-19,1.0,6.893524230447269e-19,-1.0125100445476463e-17,1.0
